state,district,biometric_ratio,demo_ratio,severity,performance,interpretation
Mizoram,Khawzawl,0.0625,0.0625,0.125,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Tamil Nadu,Tirupathur,0.5,0.5,1.0,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Debagarh,0.5,0.5,1.0,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Nagaland,Niuland,0.5,0.75,1.25,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Kandhamal,0.6666666666666666,0.6666666666666666,1.3333333333333333,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,Eastern West Khasi Hills,0.3,1.2,1.5,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,South Garo Hills,0.4884979702300406,1.1299052774018945,1.6184032476319352,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Nagaland,Tseminyu,0.7857142857142857,0.9285714285714286,1.7142857142857144,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Sonapur,0.75,1.125,1.875,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Nagaland,Shamator,0.5284552845528455,1.4634146341463414,1.9918699186991868,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Bihar,Monghyr,0.5,1.5,2.0,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Subarnapur,0.75,1.25,2.0,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Nagaland,Noklak,0.7899159663865546,1.2647058823529411,2.0546218487394956,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Himachal Pradesh,Lahul And Spiti,1.3333333333333333,0.8333333333333334,2.1666666666666665,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Jharsuguda,1.0,1.25,2.25,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Arunachal Pradesh,Pakke Kessang,1.0,1.25,2.25,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
